Node1_Label,Node1_Value,Relationship_Type,Node2_Label,Node2_Value
God,Jesus Christ,returned_to,Location,Capernaum
God,Jesus Christ,was_at,Location,Home
Group,Crowd,gathered,Location,Together
God,Jesus Christ,was_preaching,Group,Crowd
Group,Four Men,carried,Person,Paralytic
God,Jesus Christ,forgave,Person,Paralytic
Group,Scribes,questioned,God,Jesus Christ
God,Jesus Christ,healed,Person,Paralytic
Person,Paralytic,rose_picked_up_his_bed_and_went_out,Location,Before Them All
Group,Crowd,glorified,God,God
God,Jesus Christ,went_out_beside,Location,Sea
God,Jesus Christ,saw,Disciple,Levi
Disciple,Levi,rose_and_followed,God,Jesus Christ
God,Jesus Christ,reclined_at_table_in,Location,Levi's House
Group,Many Tax Collectors and Sinners,reclined_with,God,Jesus Christ
Group,Scribes of the Pharisees,judged,God,Jesus Christ